economy,year,crisis_label,SPE,T2,UCL_SPE,UCL_T2,is_anomaly_SPE,is_anomaly_T2,is_anomaly_combined,combined_score
EGY,1998,0,0.18852267642098083,1.354145378296779,2.0617676393810833,17.09109025041723,0,0,0,0.09143740197492525
EGY,1999,0,0.22481494758948223,1.8080287302476892,2.0617676393810833,17.09109025041723,0,0,0,0.10903990502875913
EGY,2000,0,0.3550590769146631,2.729886808746839,2.0617676393810833,17.09109025041723,0,0,0,0.17221100483527202
EGY,2001,0,0.22239019831228155,2.3362169775099186,2.0617676393810833,17.09109025041723,0,0,0,0.13669209765321358
EGY,2002,0,0.20363695493603892,3.4726271851372252,2.0617676393810833,17.09109025041723,0,0,0,0.20318347947711823
EGY,2003,0,0.32370279562408455,4.460471378482385,2.0617676393810833,17.09109025041723,0,0,0,0.260982261115466
EGY,2004,0,0.22094294662890607,3.815803076658466,2.0617676393810833,17.09109025041723,0,0,0,0.22326270710350463
EGY,2005,0,0.13986378739361524,2.991497702508862,2.0617676393810833,17.09109025041723,0,0,0,0.17503258473729216
EGY,2006,0,0.11810845931327849,4.788802568507636,2.0617676393810833,17.09109025041723,0,0,0,0.28019292498854664
EGY,2007,0,0.11884064929475907,3.1189675747294747,2.0617676393810833,17.09109025041723,0,0,0,0.1824908492688659
EGY,2008,0,0.10206674840934173,2.2199790428375907,2.0617676393810833,17.09109025041723,0,0,0,0.12989101399095335
EGY,2009,0,0.27924394232579264,1.2557193191632199,2.0617676393810833,17.09109025041723,0,0,0,0.13543909458663253
EGY,2010,0,0.21496784382928208,1.3328170435835802,2.0617676393810833,17.09109025041723,0,0,0,0.10426385579211667
EGY,2011,0,0.21000467470137876,3.3738154304395747,2.0617676393810833,17.09109025041723,0,0,0,0.19740200192069154
EGY,2012,1,0.44039476632232505,4.166287354764638,2.0617676393810833,17.09109025041723,0,0,0,0.24376954856129962
EGY,2013,1,0.529821867542186,5.290074322907195,2.0617676393810833,17.09109025041723,0,0,0,0.3095223444143976
EGY,2014,1,0.7776963680646636,5.332091979648457,2.0617676393810833,17.09109025041723,0,0,0,0.37719884297830875
EGY,2015,1,0.9748502809638007,5.13716022670418,2.0617676393810833,17.09109025041723,0,0,0,0.4728225733800141
EGY,2016,0,0.8673149662583612,4.747934304569506,2.0617676393810833,17.09109025041723,0,0,0,0.4206657189161812
EGY,2017,1,0.33483248734905025,3.12336645157049,2.0617676393810833,17.09109025041723,0,0,0,0.18274822763247897
EGY,2018,0,0.16453223188847654,1.5718369019682508,2.0617676393810833,17.09109025041723,0,0,0,0.09196820559354771
EGY,2019,0,0.177802310846699,1.4497418207639152,2.0617676393810833,17.09109025041723,0,0,0,0.08623780267502551
EGY,2020,0,0.24083332995704224,1.7108328028193938,2.0617676393810833,17.09109025041723,0,0,0,0.11680915218425747
