economy,year,crisis_label,is_anomaly_combined,GDP_Growth,GDP_PerCapita_Growth,Inflation_CPI,Total_Reserves,Unemployment,Current_Account_GDP,Trade_GDP,FDI_Inflows_GDP,Exports_GDP,Imports_GDP,Gross_Savings_GDP,Exchange_Rate,Manufacturing_Value,Investment_GDP
PHL,2001,0,1,0.05763543106534591,0.0450271989612114,6.293508663515847e-05,0.03599312838017092,0.0010927956734177978,0.5674335442553997,0.0010520293704134023,0.0007120007087335013,0.004033902006076499,0.02105302937710012,0.8437708716091438,0.006844454455893725,0.0008268647974654407,0.6805070281432647
PHL,2002,0,0,0.03502224540165892,0.03492274862752508,8.034694893418169e-05,0.007182279358647131,9.546360167772436e-05,0.3773521459530263,6.647065928144897e-05,5.1391968395699066e-06,0.014978828683788605,0.02627946041430816,0.6649163703321426,0.0023535859165380708,0.001581984993354872,0.38423260079751065
PHL,2003,0,0,0.03217890596493591,0.018925520214640133,4.8786767441635655e-05,0.04623086226031737,0.0032130818801830436,0.41729808763357273,0.0011677952094503972,0.0014363400715841931,0.00907390997422372,0.034871628031163435,0.5868733016672529,0.007332109843044101,0.0003237813963544855,0.5879793130927524
PHL,2004,0,0,0.021231824967700604,0.013734460381399659,5.1244585602849374e-05,0.025960745047916067,0.001320709030515986,0.30620934105895675,0.0004624042582291087,0.0006745950120154368,0.015846696677148345,0.038294838168302536,0.4680329512622908,0.004510042036435293,0.00047343221079666666,0.41416998459491416
PHL,2005,0,0,0.01722964048356304,0.011472394629439086,0.00016523065726765438,0.024058804261676222,0.000896167532970288,0.5101154673723851,0.0005941268361820978,0.0006104385609932397,0.011085658735083844,0.0314070079186737,0.8282390944727415,0.005492973175685807,0.0020073949708514205,0.608714482644271
PHL,2006,0,0,0.009276453257246076,0.0006401655805889858,7.654246169606354e-05,0.08364462001515857,0.01123264388295043,0.4095845463471821,0.002570236716287895,0.004109713064140462,0.005817338112445519,0.03997120320864514,0.5070750550275287,0.011586794642059388,0.0001469326654982884,0.7053588341885932
PHL,2007,0,0,0.010976753023068732,0.00025548739752732084,4.280418195034123e-05,0.11896833730578316,0.018122911892515598,0.39933118813636387,0.00403983225418523,0.0062697442634230514,0.001508030634461696,0.0336956314894003,0.4259540295102812,0.014935363151304597,3.2047163636045013e-06,0.7700711562115635
PHL,2008,0,0,0.013472476816120934,0.010134246437063565,0.0001919033297031348,0.015032133674096216,0.0003074407543649159,0.49836547211958954,0.000510434434184463,0.00032783519091611994,0.0037377378931503094,0.014597971199634983,0.8291561570237461,0.004288111178019513,0.002649496388789836,0.5438928802164952
PHL,2009,0,0,0.003827458835790849,0.0077491622485862345,0.00032887007103546634,0.00043629417938536837,0.0023025715723111965,0.4037592530824119,9.177553763781916e-05,0.000304803012414219,0.020641506532677274,0.02192537745822705,0.8754144053964487,0.0005883048988030371,0.006318107139062944,0.3152035650386213
PHL,2010,0,0,0.012964662469503726,0.01561617219376186,0.0002127949805493434,0.0013405621062605971,0.0006336888840231531,0.42290181423864537,6.186058927609686e-06,2.768869728461798e-05,0.011858621344299974,0.017963863238553632,0.8154789707053174,0.0015451683198032659,0.003947513200379921,0.3787266693516221
