GDP_Growth,Inflation_CPI,Unemployment,Current_Account_GDP,Reserves_Months_Imports,FDI_Inflows_GDP,Exports_GDP,Imports_GDP,Gross_Savings_GDP,Investment_GDP,Manufacturing_Value,Domestic_Credit_GDP,Broad_Money_Growth,Exchange_Depreciation,economy,year,is_anomaly_combined
0.00029735087259020353,0.00029776248996531124,0.00032584994585429394,0.011488287389959082,0.00032134100603619975,2.595658122938174e-05,0.0009259011200106118,0.0015705651626973917,0.031644652542191176,0.006555131011706682,0.0006851566180480186,0.00018540769347124165,0.00026970980367377025,1.9946386406292703e-05,COL,2002,0
4.547613886192829e-05,0.00038318921954961604,4.820826470902881e-06,0.01769447094031032,4.060917732628236e-06,6.962728084231374e-07,0.001443699074783665,0.0010794667413319046,0.032378711458690215,0.014584261321347694,9.640101911179178e-05,1.823104394352784e-05,0.0004316881699660336,7.981600071279004e-08,COL,2003,0
4.713824778764562e-05,0.000505212997061826,0.0001352980589607656,0.015875101888516454,0.0003653198879756005,7.249557068916382e-06,0.0009398825491399817,0.00021188137287881146,0.020525768026413257,0.016981357777756872,3.4556114395725896e-05,0.00041256629865380737,0.000510528853961017,9.07749633814379e-06,COL,2004,0
0.0010096460613828802,0.0012312158408706519,0.002099694056768289,0.021471866830539265,0.003660545383687364,0.00014307508417185858,0.0026424699571955036,2.7581811543704053e-05,0.009692134664054544,0.032806580103279005,0.0018157735190210908,0.003247180507217769,0.0010404366273744038,2.1534617444629006e-05,COL,2005,0
0.0010916670483254955,3.376684233900407e-05,0.0026496298989936553,0.02599495106621096,0.004548974317866448,0.00018532808454903207,0.0030577173058927453,1.5915339174712363e-05,0.011411029456036826,0.03988180735165186,0.002341457552787493,0.003906663709996896,4.717800416145326e-08,0.00013039600926994564,COL,2006,0
0.0003452606067454246,0.0002868154950838405,0.0008391145252971272,0.01888625231474995,0.0016319793333433813,5.4570419115021755e-05,0.0009208916180174244,8.472641392725539e-08,0.015397458446260816,0.02524046186272901,0.0006169025464212865,0.0015200244186925576,0.0002125652232815542,9.46036078352666e-06,COL,2007,0
0.010110790142449935,0.002029785269286988,0.01995055353101879,0.027847672885576154,0.030925825175346675,0.0014302737656162025,0.0033626142894339173,0.0045489260208410424,0.0045578946805642844,0.08755885523847408,0.022051880751181592,0.02500959941901328,0.001007451583054964,0.0009933392340465215,COL,2008,0
0.009887489033292186,0.0004630331331649951,0.020172349282103826,0.02436644924651582,0.030946099780407504,0.0014599484165004324,0.003522084758210604,0.004385868617487963,0.007027499442065812,0.08132241185627523,0.022522884700350788,0.024706318489343734,4.213411911195351e-05,0.001313590241296816,COL,2009,0
0.0016830240430097212,0.0006933684942186521,0.0032027378551692126,0.00551604403452062,0.005186186262439755,0.00022229201456727977,3.069219875104519e-05,0.002962351771468957,0.00013630998161740882,0.017346986103189285,0.0035770616873123657,0.004298111857843821,0.00045088793087347896,0.00012342163484676218,COL,2010,0
0.002305908122949841,9.046023339059023e-05,0.004745843256390561,0.009028031983207,0.007704472186257466,0.000331908813165323,0.00014058967726879844,0.0050481720882234685,4.461368781645024e-05,0.02730688848961277,0.005315288552688944,0.006308820911506766,2.6342728690271072e-06,0.00030890314164506506,COL,2011,0
0.0022738345622650992,0.0008373879039484046,0.004317107096488871,0.006316112410614259,0.006951408591504639,0.00030033932863734997,8.677934729771311e-05,0.0043091784913862705,0.000495441603241738,0.02154591557186644,0.004880298751500024,0.005733257473213225,0.0005241807084362345,0.00017778985468710635,COL,2012,0
6.18273361948713e-05,6.502718513349836e-06,0.0001540605608907291,0.0035240666251704026,0.0003473705852073968,8.860061431402693e-06,0.0005342364574297082,0.0011613959594767146,0.00366772055035399,0.005697918248806089,0.00013446606146426084,0.00033236916621832995,6.290959691111903e-07,5.430001014175224e-06,COL,2013,0
0.0007261246812501449,4.276465867659233e-05,0.0016438338530555012,0.004488032334214282,0.0026833761292217825,0.00011607185554657618,1.1733322518578953e-06,0.0013377621754981101,0.00010609561215718388,0.01137817634568302,0.0017906324002923584,0.0021836619964471435,0.00014451678585672791,0.00015199100015250513,COL,2014,0
2.6108817312042292e-05,0.0009105322876449967,8.939247219421502e-06,0.00017106639452174756,1.7132101274620344e-05,3.4894916716185567e-07,0.00041452691623317827,0.00045649769245065415,0.0004225454293234161,2.5662925187731042e-05,1.8201136121166192e-05,1.9570329487589523e-05,0.0010108272862201883,1.817131637608745e-05,COL,2015,0
5.136236878708523e-05,0.00011588811253438899,3.7294009921599545e-05,0.0040872732706946835,3.5628220004037366e-05,2.6748847879013366e-06,0.00167304028807795,0.0017001980090899137,0.008556626687955527,0.0023526427167499427,0.00012025480396524975,1.8814805395537622e-05,0.00011215134396839339,1.5844158298037264e-06,COL,2016,0
2.965262229373982e-05,0.00024776097588581413,4.791981962768679e-05,0.003944459580885725,3.8004699497332274e-05,4.2696709203321415e-06,0.0007956492121424236,0.0008871698223108356,0.008954884310793547,0.0024784809072212794,0.00013751971098066492,1.2787351242369149e-05,0.0003154532382366923,3.9273226757271e-05,COL,2017,0
0.00043369726019592435,0.0043705974771534074,0.00041709238927740755,0.0008436900756385361,0.000582968070787738,2.8185695881555167e-05,1.3581653365097638e-05,0.00038614575296889737,0.006581398795445243,3.10164012180771e-05,0.0005703296979252097,0.000494657836386844,0.004691669427395114,2.7936930005007688e-05,COL,2018,0
0.00036934165645522896,0.0002872473116729754,0.0005615884044026472,0.0006972925873135563,0.0007938706591188644,4.0312923552627444e-05,0.00041760763861090625,0.0014278668319435794,0.006467614207342719,5.072313429560246e-06,0.0008002726621402424,0.0006046377043903899,0.0002323881158450469,2.219993796577931e-05,COL,2019,0
0.0064103214950559165,0.011894159985567747,0.010739981503028323,0.00838474643267903,0.015717883265796713,0.0007825343767883246,0.01614866304939149,0.0009329957815354542,0.011749723268064375,0.029670952136871,0.011582643314271723,0.012793158005138559,0.011190760255789094,8.916867860192622e-05,COL,2020,0
0.02938898578487032,0.00430378424388128,0.05538746270379451,0.011964275947218835,0.08257178303792748,0.004018023151352089,0.0009068865524137627,0.028468056196422346,0.1097140009454273,0.11543888318811271,0.06631910622429173,0.06482903376808934,0.0018163966078902623,0.0033230987027260787,COL,2021,0
0.018049333532778027,0.004494178358168646,0.032380470836416105,3.263859243306636e-05,0.04671768834573103,0.002373513319456054,0.0006236993476243735,0.015493851343064049,0.13004175311165297,0.033548454177922675,0.040215183983384334,0.03607283705107214,0.002599008482995998,0.0017996728682113847,COL,2022,0
0.00897324037361561,0.000347612899729201,0.016993960095860145,0.00022180609455331896,0.024720880322948478,0.0012477569401403888,1.6214275839232915e-05,0.010724039378514181,0.05931277634256351,0.021086805844248633,0.02113345972025966,0.018975211794737764,2.188338416966158e-05,0.001300215034065127,COL,2023,0
0.005161711558694359,0.0002492272263397611,0.010543332116933759,0.0006628651395086011,0.01548540075508037,0.0007768607068858705,3.251612887447637e-05,0.008132569023995393,0.02910838477336619,0.016661629768237,0.013066959657200627,0.011797845807623655,0.0008475913384461621,0.0011387167624435726,COL,2024,0
0.04664894647722402,0.035642179702342645,0.07828370047164593,0.00028743519909286253,0.11141884058914985,0.005738458593255528,0.009285502525062593,0.019366315020423085,0.36939567419790553,0.06270571442305507,0.09663114520766278,0.0866424449102534,0.02910476135443232,0.0025753632642994814,CZE,1990,1
0.0305753321471675,0.03394593224179576,0.047485707524994855,0.020927804797884496,0.06550438719054828,0.0034915575569953975,0.0008398890280455649,0.021678685169573872,0.41661008945251904,0.00572402316736724,0.06221945421430785,0.05013248147193166,0.02982394839155367,0.0012504796229991467,CZE,1991,1
