economy,year,GDP_Growth,Inflation_CPI,Unemployment,Current_Account_GDP,Reserves_Months_Imports,Exchange_Depreciation,FDI_Inflows_GDP,Exports_GDP,Imports_GDP,Gross_Savings_GDP,Investment_GDP,Manufacturing_Value,Domestic_Credit_GDP,Broad_Money_Growth,is_crisis
ARG,2001,-2.096917961858096,0.38314844833203476,2.3195628156556922,-0.3228515453762671,-0.118872667490674,-0.24451868391876644,-0.40075308117326547,-0.8832507245442293,-1.0384611821522034,-1.2955534397347752,-1.4525240497774774,-0.09340779732398015,-1.1473472947376724,-1.1119143225743644,1
ARG,2002,-3.8807923075366766,0.38314844833203476,2.8175430420652243,1.4624227157910468,0.10904273891863736,8.627168942562449,-0.17645613905676594,-0.33371730941250305,-0.9184880742384279,-0.42064944723879477,-1.9653425794397696,0.6549858637375321,-1.2624667130439748,0.26584247489994106,1
ARG,2003,1.5463566606854662,0.38314844833203476,1.8895886994606776,1.0167157602523786,0.20764235451960592,-0.47262701631026266,-0.3220609246252222,-0.41389457642382205,-0.8664340083276845,-0.3726211063204175,-1.7097666939830716,1.0312412426039743,-1.3580729116781978,0.7864224521020269,1
ARG,2004,1.5993126563482605,0.38314844833203476,1.4863782782533121,0.2547422467103278,0.22580662052827302,-0.21093552746326524,-0.12716804123091266,-0.48202620501792753,-0.7838705000767461,-1.3484761912450784,-1.1176562497507563,0.4068269404311522,-1.3806750555335452,0.3559688295951642,0
ARG,2005,1.5503776455411213,0.38314844833203476,1.0441191873098687,0.37568714580180806,0.5698489141965505,-0.2733903542550732,-0.10392388345859353,-0.5017051984269594,-0.766035864525922,-1.3575853124584927,-0.8851132730514929,0.30188279089632464,-1.3603581143804144,0.36051108554868044,0
ARG,2006,1.3290978964206142,0.38314844833203476,0.7308523312249294,0.3999199217281035,0.516144454731466,-0.021587349743977385,-0.1471289070057861,-0.5088731852812932,-0.7621079767220975,-0.41156149335297065,-0.9212518550410873,0.2205055377288704,-1.334061140858605,0.294891386459353,0
ARG,2007,1.5932829011268328,0.38314844833203476,0.3780980563057546,0.2810683743243791,0.7814014346850802,-0.18636994171325563,-0.16802789096339454,-0.5207753777748265,-0.72818588179153,-0.3116387503253703,-0.6745106123836817,0.07443833426845702,-1.3091972510531373,0.5153166226568279,0
ARG,2008,0.23167228810105647,0.38314844833203476,0.23923396673869107,0.17712574444822474,0.44308048544030904,-0.17718052203150786,-0.09739422659040184,-0.540457878248763,-0.7258865590452737,-0.44720354086916536,-0.7660563254506126,-0.015105679790906677,-1.3256143241833875,-0.34484804001712105,0
ARG,2009,-2.5121563819927646,0.38314844833203476,0.41648860239459495,0.2939621304880439,0.9894086700507476,0.5288692922943053,-0.3362923818934057,-0.6222134492610283,-0.8748662812267537,-0.7914946635309494,-1.3782304790427937,-0.18302204105698647,-1.3234745906116057,0.12376924861338945,0
ARG,2010,1.900718885479147,0.38314844833203476,0.21225089720196327,-0.14672290829526202,0.5737197793551475,-0.028894942000065,-0.09976784947359406,-0.6427237274798433,-0.8151660927682549,-0.9129302171780106,-1.090825249715068,-0.13709630250751584,-1.3177434590822619,1.0037167053791536,0
ARG,2011,0.7671165302088062,0.38314844833203476,0.09510488799372961,-0.25409709621587,0.09198360438414886,-0.00870085937441634,-0.20130447742779428,-0.6585722304794683,-0.7872827507912078,-0.9127632215789997,-0.9703049666855539,-0.13606944520048073,-1.290152525745581,0.580082987319392,0
ARG,2012,-1.166584779637997,0.38314844833203476,0.10322174630965589,-0.14818110176274382,0.09577682543170896,0.20164383546725573,-0.07858931900093975,-0.7308907422889416,-0.8829032390165258,-1.0506142947915011,-1.3001579121457425,-0.2475747927985915,-1.2649576095252737,1.0626550703784985,0
ARG,2013,-0.22268477210798632,0.38314844833203476,0.07755492406740247,-0.4898142188238408,-0.3123922848286499,0.6290478090180449,-0.24405352508906067,-0.7838925835796658,-0.8663197056316688,-1.1752367457220527,-1.1603545155931207,-0.28376653207757285,-1.2541548881607796,0.6496177982738249,1
ARG,2014,-1.5753621387340224,0.38314844833203476,0.11440984831268945,-0.380834755714646,-0.19565137627955448,1.8142825128107278,-0.37559163091300857,-0.7908157097327664,-0.8940358675478481,-1.0875437518406255,-1.1678157351951313,-0.32568027391458737,-1.294022383833736,0.7975082164891205,1
ARG,2015,-0.1330636853943783,0.38314844833203476,0.182196583978128,-0.5905255146439398,-0.335145758893947,0.37157648851700004,-0.21217882877080804,-0.911812380349704,-0.9800673581279404,-1.2842930684475369,-1.2012408777962489,-0.4296737322707578,-1.281667357568887,1.3012006435475685,0
ARG,2016,-1.4564616249250955,0.38314844833203476,0.2942969785575423,-0.5468808195531583,0.06766362357751535,2.326530892151423,-0.4364100043871545,-0.85224511395387,-0.9108692611780359,-1.2454601622007884,-1.098183511746044,-0.5516738876230532,-1.2972894124758632,1.4131118722928138,0
ARG,2017,-0.10903998380382493,0.38314844833203476,0.3511149867690264,-0.913430145674051,0.2889563861864669,0.28084789468041443,-0.24241742839339325,-0.8917118860994624,-0.8952754418549104,-1.4360986268965539,-1.0026370687664077,-0.6665144081705852,-1.2493547482035279,0.8118365971396704,0
ARG,2018,-1.6041821538486847,0.38314844833203476,0.5426289681150713,-0.9685816018084168,0.5352139980272509,2.7471575464803033,-0.1710494482150249,-0.7897951314749617,-0.8039833930654985,-1.6416512042081486,-1.2806954378376267,-0.45103592167914175,-1.2648477931245343,1.7293485379183788,0
ARG,2019,-1.4346042991450842,0.7218036550977681,0.6792993121913437,-0.21499786087082198,0.26383983846321885,2.8222345474302886,-0.29143157032203915,-0.6757195957676523,-0.8667465795050628,-1.359771532707156,-1.6987972414417818,-0.5423838317764946,-1.280340838045541,0.5897125631612832,0
ARG,2020,-3.60739296385614,0.5191278654298146,1.0342473326013097,0.039078055823784895,0.5312537920266869,1.7536497789105716,-0.3266734005516765,-0.7188704684185533,-0.9096492733292608,-1.197612932945092,-1.6631198444860735,-0.3577386794763389,-1.2537908527685844,2.710997534608097,1
ARG,2021,1.9877483952787471,0.6314961115625616,0.4364516863607923,0.15341026528480908,0.18553283881935745,1.2448666224423792,-0.31021314457281873,-0.6710812557415834,-0.8548826996542473,-0.6575391341698088,-1.0263398530137442,-0.18748302750311796,-1.3057261727841252,1.9217164104549966,0
ARG,2022,0.7717356265027122,1.0536294207377224,0.012839432089071234,-0.1883773765305061,-0.010780324484785104,1.3669207961455638,-0.1443281507123424,-0.7294580659325922,-0.8437824855319039,-0.9734466172342222,-1.1464736641922255,-0.036530390822239266,-1.3135796397028363,3.83096787424006,0
ARG,2023,-1.3947020306922329,2.126619062931085,-0.13326401759760192,-0.6304741137732376,-0.5451556279200793,5.204288946533993,0.0832950319759517,-0.8425905355801141,-0.8997180909733031,-1.047677311958306,-0.7991921295824582,-0.01736008380307279,-1.2619389205506832,7.547470192392984,0
ARG,2024,-1.2536408138479735,3.644858486694966,0.08852365152135708,0.07282729342795127,-0.2907761873522995,8.724723626385297,-0.23682444427387764,-0.7632052640939169,-0.9452231282190932,-0.9908272299095898,-1.4156796598313388,-0.25316065451538866,-1.266948285897656,5.688036755007905,0
AUS,1990,0.0984774623929279,-0.09034827997114357,0.6229200530780179,-0.9376707978468357,-0.3516314340519307,-0.24451868391876644,-0.09380139629119694,-0.768275170064118,-0.7772738442249995,-0.04361274765671065,0.8568412683159423,-0.5149083522744438,-0.31787147636469715,-0.09871958052599283,0
AUS,1991,-0.9900609211183302,-0.1633888777082062,0.6229200530780179,-0.6387315693969242,-0.32882775475973847,-0.23546569659706865,-0.4017094845646531,-0.7384496800325066,-0.8112232043390419,-0.48634356270309326,0.0364826829411316,-0.7278722583580478,-0.3271199493302089,-0.7058098055476579,0
AUS,1992,-0.7651535969360336,-0.20142509647075751,0.874542660871733,-0.6250739895724896,-0.5561845906183743,0.016182956580382168,-0.2864401650432635,-0.7179075992338511,-0.8025320204972303,-0.7920938453721256,-0.2892130486102502,-0.7266080279134056,-0.29071307297750765,-0.38080844784419365,0
AUS,1993,0.2285368975915682,-0.18839578640115232,0.9065713450372798,-0.5920849883280132,-0.5434876778297087,0.09915002893590069,-0.2568725166151658,-0.6891175696416505,-0.7455158130509042,-0.5482519095219974,-0.07096381411151775,-0.6755297082048978,-0.2610264916796653,-0.4674732074916879,0
AUS,1994,0.21011148762220494,-0.18460036234949492,0.6531937408509321,-0.9249746487716634,-0.6357039086009318,-0.544904651749499,-0.30847321141056516,-0.6750158698330521,-0.721298118898833,-0.35890027379835654,0.04511249835788836,-0.6194198861368102,-0.18818172671027214,-0.24548597039789707,0
AUS,1995,0.18572216180957696,-0.13788843307479515,0.37875617995299193,-0.9518316719836815,-0.6777228594264841,-0.30332050007087813,0.048940634111596604,-0.6783785863308567,-0.6692669339118469,-0.5111967979115101,0.34392272329043483,-0.6333354172881283,-0.125523450657121,-0.3210547254368534,0
AUS,1996,0.1789842438831225,-0.17325255284274657,0.386653663719839,-0.6973001065248168,-0.6405954886005925,-0.4711918022198949,-0.3477298042742067,-0.6451060739979783,-0.688259501347241,-0.47898690435207636,0.1344732954052994,-0.6980588860199045,-0.08956661122047752,-0.20931407701484372,0
AUS,1997,0.1933647620247655,-0.21526108716709544,0.3555024777506085,-0.5504121094867439,-0.6476834336253569,-0.010777584867673716,-0.23205797454626353,-0.6373642973018314,-0.7072051713200389,-0.3670161995727231,0.1461025024600677,-0.7802633570071859,-0.009738558615395415,-0.38439867647726766,0
AUS,1998,0.4020877160853645,-0.20409795580111653,0.20566966072959056,-0.8448177418731695,-0.6790296962403026,0.5350018057425425,-0.2249730610292655,-0.6234229602651707,-0.6461483136000831,-0.3902258108424709,0.28226402329706257,-0.7522523835673159,0.06921764700477424,-0.32567071297832484,0
AUS,1999,0.498741980515099,-0.19314966337722592,0.02841502507368669,-1.041369198214874,-0.5343412440361232,-0.35755648742142343,-0.43936542622234864,-0.6646898823768542,-0.634602366223977,-0.5126108347631875,0.36910095903787854,-0.8402239487036245,0.17237020176613183,-0.15396739447542782,0
AUS,2000,0.1928419863058799,-0.14088163621073987,-0.10057720978481766,-0.7198780166322237,-0.6365693817890532,0.2402613550035479,0.044707782497264176,-0.6289144402537855,-0.6032640193892507,-0.4433033538167319,0.38735215272430196,-0.91459736534876,0.2451099556043874,-0.5716664513364131,0
AUS,2001,-0.32551619882541716,-0.14176569417983967,0.0001157082424841096,-0.44204850601253687,-0.5905290888001454,0.2751569567694588,-0.07682506429463137,-0.5388600951218149,-0.583238114389599,-0.49863593896858793,-0.10941341049344482,-1.0236038697250813,0.26202200360682004,-0.1945439881923153,0
AUS,2002,0.20212432559062565,-0.16681737262038338,-0.08149162401493697,-0.7752140587896494,-0.5729431924498039,-0.45092429391215405,0.06479191879950036,-0.5852003679509258,-0.6349726401528126,-0.3714145737720448,0.06789125545909494,-1.093135570069182,0.322268368112893,-0.39880369453641823,0
AUS,2003,-0.03401273530380642,-0.17119264430641343,-0.17845517470789435,-1.1569314226740608,-0.4334669151669647,-0.9416909096141031,-0.22173332592399914,-0.6397235367680668,-0.6186749782358828,-0.45688341079945405,0.3333767603529159,-1.038349941267088,0.487602147037501,-0.0984176944733673,0
AUS,2004,0.27615011718637894,-0.17803461907613663,-0.29560118391612783,-1.2344977429371415,-0.5203357662354218,-0.7521253813611164,0.5918079221218417,-0.7015491976284111,-0.6687962031796195,-0.403033587088649,0.5293124915654238,-1.0314374859993418,0.5603688966046221,-0.16896502428550167,0
AUS,2005,-0.01635424232724523,-0.17190907082119328,-0.37523414523183724,-1.1508689416594549,-0.5137126690495126,-0.4033948518427119,-1.1105093607795795,-0.6668818842668617,-0.6266737461638324,-0.469351284851387,0.5975482524207724,-1.1355717556383804,0.6819664847233343,-0.32197345036400543,0
AUS,2006,-0.12212596649563089,-0.15673533071053528,-0.43029715705068844,-1.1429800591232415,-0.4534672739050618,-0.1838159660215099,0.1256739096879534,-0.6137638423356443,-0.5970077892969222,-0.3867023910145841,0.6053244027938165,-1.2232037596569323,0.789661757321232,0.022195746413573976,0
AUS,2007,0.15802447332241937,-0.17830950742169807,-0.5189244748786404,-1.3797983919248362,-0.8558621151560886,-0.6745194370134896,0.3049074209830218,-0.6030849312715998,-0.5925405301145723,-0.4233929603139199,0.604156774043616,-1.323000288845972,0.9336486522150865,0.18843894235020903,0
AUS,2008,0.11250756414863397,-0.14276442884131194,-0.5494175372006338,-0.9188196096033328,-0.8404577987343953,-0.2549241092108211,0.15667634514034068,-0.6044415707068478,-0.5590707697758643,-0.3590612388354713,0.7936440832964112,-1.339923517973514,0.9578699564799845,0.12402243535753601,0
AUS,2009,-0.3465878999365302,-0.1880889096029025,-0.25918500876899897,-0.9778799585417697,-0.6971867273448704,0.07988246853468817,-0.03051562135382273,-0.5118095358981006,-0.5587261260117194,-0.10446861752172638,0.5738064266567613,-1.458428940086066,0.9718527037807085,-0.5995881277725691,0
AUS,2010,-0.27639531773273174,-0.16792860111493024,-0.3361854754957592,-0.7675756976984051,-0.7791864898109562,-0.8880150831393108,-0.033794776725728955,-0.616613373938755,-0.6361449641710731,-0.37573800483831093,0.47317868755446835,-1.5388241872673365,1.0278934580734227,-0.23649035925391876,0
AUS,2011,-0.22559722801954865,-0.16115392921930177,-0.3649235414251199,-0.6405878382322283,-0.8062495928184729,-0.7202200682185923,0.22218281107750146,-0.5630168069856794,-0.6480533519382968,-0.19741770261218658,0.4183476270189459,-1.64896847182565,0.9651094823871206,-0.349931237453807,0
AUS,2012,0.20285761437724978,-0.1882354223332502,-0.3337723554558894,-0.8427628620096709,-0.79776437070542,-0.26074940528110707,0.06652117826034691,-0.5613771348181521,-0.5997164647206578,-0.07000147943481759,0.6341773340454179,-1.709001693516865,0.9438493723235291,-0.3824405290179934,0
AUS,2013,-0.15416186357068004,-0.176160862299942,-0.23768630295924828,-0.6389459016550131,-0.7548424905672572,0.06708446191335847,0.02332244654701543,-0.6113508383802612,-0.6148733222560974,-0.12125211869570916,0.6574370928666001,-1.7853385388137148,1.0151701675576799,-0.4139493494909115,0
AUS,2014,-0.16881189953329007,-0.1754922562880195,-0.14664586509142635,-0.6105305611468806,-0.7300760050216296,0.06044156470743609,0.15964162005059787,-0.5752863552767105,-0.6111534782988309,-0.1613175752469227,0.45812162511910415,-1.8271610649010583,1.092601973004928,-0.3989620512232581,0
