economy,year,anomaly_score,anomaly_score_negated,predicted_anomaly,crisis_label
GBR,2009,0.018014605704990805,-0.018014605704990805,0,1
GBR,2010,0.07342069937296236,-0.07342069937296236,0,0
GBR,2011,0.07082521848449125,-0.07082521848449125,0,0
GBR,2012,0.06777729721651182,-0.06777729721651182,0,0
GBR,2013,0.06435201102110005,-0.06435201102110005,0,0
GBR,2014,0.07363001802643593,-0.07363001802643593,0,0
GBR,2015,0.06732275406805838,-0.06732275406805838,0,0
GBR,2016,0.029825389853251727,-0.029825389853251727,0,1
GBR,2017,0.07250301446830848,-0.07250301446830848,0,0
GBR,2018,0.06508580004705627,-0.06508580004705627,0,0
GBR,2019,0.07281739075983651,-0.07281739075983651,0,0
GBR,2020,-0.03747993562325641,0.03747993562325641,1,1
GBR,2021,0.052669101657900064,-0.052669101657900064,0,0
GBR,2022,0.058707381090079835,-0.058707381090079835,0,1
GBR,2023,0.05666980164723179,-0.05666980164723179,0,1
GBR,2024,0.0685660259125056,-0.0685660259125056,0,0
GRC,1990,0.068394589843567,-0.068394589843567,0,1
GRC,1991,0.07817613510375337,-0.07817613510375337,0,1
GRC,1992,0.07792625168926587,-0.07792625168926587,0,0
GRC,1993,0.06234340856244186,-0.06234340856244186,0,0
GRC,1994,0.08573450895232015,-0.08573450895232015,0,0
GRC,1995,0.08470713382386996,-0.08470713382386996,0,0
GRC,1996,0.07994054878452928,-0.07994054878452928,0,0
GRC,1997,0.07945162887281926,-0.07945162887281926,0,0
GRC,1998,0.07539790456432405,-0.07539790456432405,0,0
GRC,1999,0.0705124950737529,-0.0705124950737529,0,0
GRC,2000,0.06260871393254042,-0.06260871393254042,0,0
GRC,2001,0.0681729351393765,-0.0681729351393765,0,0
GRC,2002,0.06927079141246634,-0.06927079141246634,0,0
GRC,2003,0.06363625714699833,-0.06363625714699833,0,0
GRC,2004,0.06470590241419877,-0.06470590241419877,0,0
GRC,2005,0.06577642546016516,-0.06577642546016516,0,0
GRC,2006,0.043230578752003146,-0.043230578752003146,0,0
GRC,2007,0.03938691546021439,-0.03938691546021439,0,1
GRC,2008,0.03868845731140452,-0.03868845731140452,0,1
GRC,2009,-0.012241015146591705,0.012241015146591705,1,1
GRC,2010,-0.03625484447652444,0.03625484447652444,1,1
GRC,2011,-0.09609826998951632,0.09609826998951632,1,1
GRC,2012,-0.0816146727252628,0.0816146727252628,1,1
GRC,2013,-0.05040909790652287,0.05040909790652287,1,1
GRC,2014,-0.03674894478317592,0.03674894478317592,1,1
GRC,2015,-0.031714590500803164,0.031714590500803164,1,1
GRC,2016,-0.02433902870944815,0.02433902870944815,1,1
GRC,2017,-0.009939208159029767,0.009939208159029767,1,0
