economy,year,GDP_Growth,Inflation_CPI,Unemployment,Current_Account_GDP,Reserves_Months_Imports,Exchange_Rate,FDI_Inflows_GDP,Exports_GDP,Imports_GDP,Gross_Savings_GDP,Investment_GDP,Manufacturing_Value,Domestic_Credit_GDP,Broad_Money_Growth
ARE,2008,3.19181235452885,12.2504202448139,2.818,,,3.6725,1.60487460713893,78.8678887008838,69.6456553236032,,25.0980915436418,8.60026102418284,,21.2711344233023
ARE,2009,-5.2429219073683,1.5618131744907,2.932,,,3.6725,0.447367365846913,79.6533178623883,73.8086264963738,,31.6335487626395,9.1953292125088,,8.07943323888304
ARE,2010,1.60285004336325,0.877983288285867,2.798,,,3.6725,2.85854098227163,77.4455521760851,58.040188125584,,28.9193120278212,8.09883006159578,,6.27708897543933
ARE,2011,6.73651167897515,0.87734659568512,2.587,,,3.6725,1.93886244385384,85.6286738245297,58.5481559098621,,24.7738344997906,7.85632364319134,,5.07919360403586
ARE,2012,4.68325642918792,0.662268900269009,2.323,,,3.6725,2.43554180804761,95.6008433485867,61.036813624374,,23.4214180776536,7.83235383214612,,4.48701315470708
ARE,2013,4.9184505919085,1.1011183637571,2.125,,,3.6725,2.3838227555723,95.755207057533,61.6429155817142,,21.1407306481068,7.69050880047885,,22.7442635607822
ARE,2014,4.63291785879667,2.34626865671643,1.999,,,3.6725,2.60546090290076,94.7738651442525,64.7417651694601,,22.1222043524869,7.87819425408936,,7.91290473523929
ARE,2015,7.08766622657654,4.06996608361593,1.793,,,3.6725,2.23861341413826,93.8625203312699,70.4236225679817,,21.6431987527735,8.8850255543667,,5.45472478026138
ARE,2016,5.65790147196586,1.61748808904198,1.64,,,3.6725,2.51620120421066,94.4747232332881,70.9202430070485,,20.9292470909093,9.0412591716862,81.9398449176157,3.2555987991409
ARE,2017,-1.06137114472548,1.96682557818842,2.462,,,3.6725,2.5669608321193,94.737385589121,70.7391380638734,,20.6035924667325,9.13505350559625,78.1488923243763,4.13593318400104
ARE,2018,1.53720634021511,3.06863379251997,2.236,,,3.6725,2.35729206588897,90.8429799324319,63.9040622338676,,21.1611360615772,8.72303484298905,73.9843078244922,2.53052371254229
ARE,2019,1.27129120536284,-1.93108114782173,2.331,,,3.6725,4.11928554446951,93.3023068879995,70.5198421376147,,23.1853277033332,8.84288272527487,75.2884970259968,8.00454284211942
ARE,2020,-8.69343363776639,-2.07940317940944,4.294,,,3.6725,5.56735667729859,98.0724956970145,83.2194445309836,,22.8266628121979,8.99207371569774,88.835691606539,4.63080770411969
ARE,2021,4.55280140106356,0.179935336174431,3.105,,,3.6725,4.89230595097426,100.642599583908,82.2668014928681,,25.3830113301618,8.7723443499182,76.167662138751,5.70929259769499
ARE,2022,7.51452414254605,5.29122604376849,2.872,,,3.6725,4.44591398367961,102.051988781325,83.689671850569,,26.0584868811112,8.54436252357344,65.4574311816346,8.99537755314214
ARE,2023,4.30113648499413,1.62670837213248,2.151,13.1295797567307,4.61577821903282,3.6725,5.87183983564899,106.846123390953,92.1988267361531,33.8347166421627,26.6386668902392,9.45859478112557,,18.7400983197593
ARE,2024,3.99181200361831,1.66336510224894,2.16,14.4792979326645,5.19940206842546,3.6725,8.26261604873876,,,,,9.37365289381873,,14.4512416418918
ARG,1990,-2.46721377810472,,,3.22031448392387,5.69957895846503,0.487589083333333,1.29887904052817,10.3595365925264,4.63132240741775,16.0433752309533,13.9969815756662,26.7897045521809,15.6016948142115,1113.27240588928
ARG,1991,9.13311056738961,,5.44,-0.341028912950146,5.09620553340786,0.953554416666667,1.28557885422783,7.67504334832217,6.07801081056698,13.5618560304189,14.6369773950796,24.3864490932335,12.5872034907184,141.337040313408
ARG,1992,7.93729155643076,,6.36,-2.42494134682425,5.70506107278321,0.990641666666667,1.9367945155154,6.5981874720374,8.13279311431564,13.6516427929257,16.7024057741857,21.8591315586603,15.4453354474077,62.4862543855056
ARG,1993,8.20697907221228,,10.1,-3.46617829462144,6.74386056512176,0.998945833333333,1.17980281165114,6.90935153370832,9.31379991407563,16.2505279122602,19.6881104233422,18.2399115325496,18.2846049267413,46.4808250080567
ARG,1994,5.83620070368526,,11.76,-4.26485898465453,5.59678188654751,0.999008333333333,1.411953029158,7.52994872591672,10.6043971410814,15.6483624533872,19.9656232520199,17.8190917106899,20.280577998757,17.6402701691858
ARG,1995,-2.84520961057079,,18.8,-1.9834602735093,5.47248285450445,0.99975,2.17392758974997,9.68041025959015,10.0910128307854,16.5116322700598,18.5004105114971,17.2467521148076,19.9606075608912,-2.80555086350306
ARG,1996,5.52668982715234,,17.11,-2.4875930110115,5.89789511152116,0.9996625,2.55320340608332,10.4285967560139,11.0778716497076,17.1300773563084,19.6238724452255,17.5357232920479,20.1870018252819,18.820560554349
ARG,1997,8.1110467707457,,14.82,-4.14468006629108,5.47566058156948,0.9995,3.12787793868196,10.5608501019262,12.7753287418177,16.6642824266429,20.8260515469902,18.227905749866,21.9334587634322,25.5347378149256
ARG,1998,3.85017885156228,,12.65,-4.84431604541959,5.69914835773996,0.9995,2.43876896154487,10.4155819610919,12.934446011977,16.1297343275958,20.9707691548621,17.8379584760908,24.1532987732827,10.4880929410016
ARG,1999,-3.38545704063269,,14.05,-4.21229506178186,6.80464213303423,0.9995,8.46058217133802,9.82717451494235,11.5555704475475,13.6619163753345,17.8629278753399,16.9615250614589,24.8933437498898,4.0855896589592
ARG,2000,-0.78899893905691,,15.0,-3.15992237703676,6.28322204626375,0.9995,3.66579059535379,10.9863752325576,11.6360695451767,14.3684376958258,17.5334874363903,16.4942719439838,23.8947336198062,1.53103363312449
ARG,2001,-4.40883968258557,,17.32,-1.40694788500181,4.29371406025342,0.9995,0.806164134759348,11.5790080825317,10.2732473690136,14.2140728227831,15.6259653308051,16.0932258763829,20.833574652466,-19.4362184816831
ARG,2002,-10.8944848285903,,19.59,8.97078467784247,5.27543170673442,3.06325666666667,2.19895819502207,28.3825969991682,13.370127359396,21.3431768782392,10.8539052402585,20.347773913878,15.3318584042485,19.7088538926378
