economy,year,anomaly_score,predicted_anomaly
CZE,2003,0.0,0
CZE,2004,0.0,0
CZE,2005,0.0,0
CZE,2006,0.0,0
CZE,2007,0.0,0
CZE,2008,0.0,0
CZE,2009,0.0,0
CZE,2010,0.0,0
CZE,2011,0.0,0
CZE,2012,0.0,0
CZE,2013,0.0,0
CZE,2014,0.0,0
CZE,2015,0.0,0
CZE,2016,0.0,0
CZE,2017,0.0,0
CZE,2018,0.0,0
CZE,2019,0.0,0
CZE,2020,0.0,0
CZE,2021,0.0,0
CZE,2022,0.0,0
CZE,2023,0.0,0
CZE,2024,0.0,0
DEU,1990,0.0,0
DEU,1991,0.0,0
DEU,1992,0.0,0
DEU,1993,0.0,0
DEU,1994,0.0,0
DEU,1995,0.0,0
DEU,1996,0.0,0
DEU,1997,0.0,0
DEU,1998,0.0,0
DEU,1999,0.0,0
DEU,2000,0.0,0
DEU,2001,0.0,0
DEU,2002,0.0,0
DEU,2003,0.0,0
DEU,2004,0.0,0
DEU,2005,0.0,0
DEU,2006,0.0,0
DEU,2007,0.0,0
DEU,2008,0.0,0
DEU,2009,0.0,0
DEU,2010,0.0,0
DEU,2011,0.0,0
DEU,2012,0.0,0
DEU,2013,0.0,0
DEU,2014,0.0,0
DEU,2015,0.0,0
DEU,2016,0.0,0
DEU,2017,0.0,0
DEU,2018,0.0,0
DEU,2019,0.0,0
DEU,2020,0.0,0
DEU,2021,0.0,0
DEU,2022,0.0,0
DEU,2023,0.0,0
DEU,2024,0.0,0
EGY,1990,0.0,0
EGY,1991,0.0,0
EGY,1992,0.0,0
EGY,1993,0.0,0
EGY,1994,0.0,0
EGY,1995,0.0,0
EGY,1996,0.0,0
EGY,1997,0.0,0
EGY,1998,0.0,0
EGY,1999,0.0,0
EGY,2000,0.0,0
EGY,2001,0.0,0
EGY,2002,0.0,0
EGY,2003,0.0,0
EGY,2004,0.0,0
EGY,2005,0.0,0
EGY,2006,0.0,0
EGY,2007,0.0,0
EGY,2008,0.0,0
EGY,2009,0.0,0
EGY,2010,0.0,0
EGY,2011,0.0,0
EGY,2012,0.0,0
EGY,2013,0.0,0
EGY,2014,0.0,0
EGY,2015,0.0,0
EGY,2016,0.0,0
EGY,2017,0.0,0
EGY,2018,0.0,0
EGY,2019,0.0,0
EGY,2020,0.0,0
EGY,2021,0.0,0
EGY,2022,0.0,0
EGY,2023,0.0,0
EGY,2024,0.0,0
ESP,1990,0.0,0
ESP,1991,0.0,0
ESP,1992,0.0,0
ESP,1993,0.0,0
ESP,1994,0.0,0
ESP,1995,0.0,0
ESP,1996,0.0,0
ESP,1997,0.0,0
ESP,1998,0.0,0
ESP,1999,0.0,0
ESP,2000,0.0,0
ESP,2001,0.0,0
ESP,2002,0.0,0
ESP,2003,0.0,0
ESP,2004,0.0,0
ESP,2005,0.0,0
ESP,2006,0.0,0
ESP,2007,0.0,0
ESP,2008,0.0,0
