economy,year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
CHN,2017,2.814366151641148,0.8753066171000485,4.006111035617838,0.738560737990856,1.701766027388056,1.170385396103994,0.7329060903102779,-0.17230909013187468,-0.17915932260573236
CHN,2018,2.704431198358414,0.7867596753529779,3.8478763224653556,0.41988783630963006,2.018795750265006,0.9259024687064009,0.6918865284607671,-0.17268584416766578,-0.14535256657006143
CHN,2019,2.5588811758920142,0.7929755931638091,3.7418719864443024,0.7264943329482693,2.0485919114878555,0.9440399575246377,0.7104457313841785,-0.08500124817873074,-0.11800476196185543
CHN,2020,2.429731967022954,0.7353199919460907,3.4583232045853034,1.5174288878890387,2.414137940253059,0.984579919617569,0.6658413379344901,0.08061623646536745,-0.6914447380059017
CHN,2021,2.8560920740299034,0.69578720120873,3.6970582843448754,0.37082999527568733,2.174861007515538,0.8260840550142482,0.9395439385961739,-0.3272885565412798,0.49549008253053606
CHN,2022,2.541279104887066,0.7178506819016943,3.197732461794787,1.2180601967353117,2.5956705479010806,0.7273727852639053,0.4466444755465628,-0.051231783553201515,-0.25310234132602133
CHN,2023,2.387377479736356,0.6557872318809223,3.287579061971982,1.017399267838242,2.4901175537706606,0.6677655858991804,0.6629452602724866,-0.11080699245259618,0.23088602511048317
CHN,2024,2.414946484073016,0.6030356430849563,3.1285184646561035,1.1912042172428106,2.5118508571293456,0.5952469108999918,0.6460850804491624,-0.12760374555873535,0.2490141995742617
COL,1990,-1.229049273220913,0.00043320401497915867,0.4605170499690393,-0.18108467437676423,-1.0025818584455808,0.8108124231526833,-0.21094537843688596,-0.48747651357955935,0.025677799641061254
COL,1991,-1.0478685287693161,0.2642124136430892,0.465153352658917,0.781236798286008,-1.4251946622163334,0.9979677308857108,-0.308970251690442,-0.17934169302877628,-0.31978161610160954
COL,1992,-1.2563472761683923,0.11670001157963453,0.6548437637282991,0.13044753689473373,-1.2768861632568786,0.7576733616340608,0.032659236397697744,-0.2566785707736619,-0.18319058015296388
COL,1993,-1.2424663160675082,0.1263243148943874,0.9540267328121402,-0.7317847670295285,-0.7070598932205479,0.28310744370446367,0.10537999772669487,-0.03246153802293115,-0.05660873382846393
COL,1994,-1.266203737530356,0.04345828740164452,0.9366007575786125,-0.9292241008367867,-0.5431870431733811,0.19071318925782643,0.2653110663029741,-0.1610330785273514,0.02655102301221025
COL,1995,-1.4016838287526576,-0.02287533843214408,0.872722102582493,-0.8849465678089588,-0.3926440488706247,0.19196280686920858,0.11524579140407201,-0.1479367952016313,0.0159329405091811
COL,1996,-2.0455103295403365,-0.19361239488292067,0.10369806644912795,-0.41539834849238116,-0.3933668370456632,0.7750530302892181,0.02835974906158583,-0.09023053101643484,-0.49003854178741163
COL,1997,-2.1834340075782386,-0.2950993155440271,-0.09395792911605143,-0.7473609150303545,-0.4606128480776526,0.8320197285480333,0.3127746388362948,-0.0715137808718729,-0.24846128749572957
COL,1998,-2.614920281488225,-0.3194660162669836,-0.4558651758971634,-0.24778639103315997,-0.3254429326138342,1.192572513543788,-0.2528995098935486,-0.23156113676396975,-0.5012630203350337
COL,1999,-3.1589671502257906,-0.49745476041961995,-1.5042404197606714,1.2146957350126824,-0.8066173452840316,1.9811556682946292,-0.7200096355662624,-0.620853790881499,-0.8879815524467848
COL,2000,-2.76142392805395,-0.5053766885651052,-0.8420093215819637,0.1353556790845798,-1.2638854597877174,2.197023498266479,-0.12037224708942164,-1.0035629431958328,0.27193682136203584
COL,2001,-2.5692847420814577,-0.39565807153546245,-0.5610450423024692,0.049224848132100756,-1.1142554037436987,1.2887340626128978,-0.13620583885248708,-0.4615173011766355,-0.280545974847868
COL,2002,-2.392993138419683,-0.4067336827008571,-0.2708102197936559,-0.02385708847058486,-1.1355980962107048,1.2339811807350924,-0.05778446953854283,-0.457540361997016,-0.19071513889405906
COL,2003,-2.0442210879100333,-0.2856969570465014,-0.060347853788090815,-0.2479128230820724,-1.1508276558681527,1.0318693235692056,-0.045812918592000255,-0.41680850233404376,0.08431185007820012
COL,2004,-1.816585348223133,-0.3775913126224939,0.09755631157468625,-0.4097551508293076,-1.1874323712695696,1.100791631483769,0.29683703524537874,-0.7092509311870996,0.19972097081829443
COL,2005,-1.3342039986366194,-0.30646415408757127,0.16366822946910664,-0.7822417089946282,-0.913545521968572,0.8628748606943766,0.4902193146753918,-0.23485977118671,-0.2086743189807458
COL,2006,-1.2279628770131774,-0.2114562681400647,0.4225612288231671,-1.0163458583278278,-0.7990630262212142,0.7534657721271882,0.3111695979958511,-0.4083857495078874,0.3343481133136865
COL,2007,-1.2855528461664216,-0.28817502222807023,0.5442955213309929,-1.085903826824453,-0.6674776102820816,0.756581604649621,0.44103343551326474,-0.5083321094003801,0.1992955056003062
COL,2008,-1.3987081643437191,-0.2668280827521973,0.2368835296948013,-0.5963788584441932,-0.45854467629808776,0.6570226288429949,0.18330743628199203,-0.28219606119980345,-0.3203141824379765
COL,2009,-1.7456838484081523,-0.2540623162807313,0.05386675425951239,-0.05599300983073067,-0.5679432112380695,0.8380536378517319,-0.0642794641218181,-0.11846446705026874,-0.5512315879106721
COL,2010,-1.6759353404206627,-0.39328701603529803,0.34974260738010193,-0.5278565122373049,-0.6932724091728693,0.5178902943992681,0.273725636669442,-0.4361928186907715,0.005644473814680704
COL,2011,-1.3270756732057318,-0.3112160943213035,0.3798836799324196,-0.9717862579301072,-0.7307752485003688,0.43382789162503066,0.5998897147796074,-0.27694688946749424,0.4877711915126928
COL,2012,-1.5835942011618764,-0.3458528447440489,0.144330254121855,-0.529350589254086,-0.5759165977472779,0.3339894348838122,0.36644231884532186,-0.09015706868936585,-0.055329151692151794
COL,2013,-1.504448616324488,-0.2959340644016855,0.32367090093572676,-0.6030942546464803,-0.6926668493997747,0.32315371003985527,0.5183751811883216,0.02543270920609838,0.15414619368466012
COL,2014,-1.540461475327978,-0.27914854587915927,0.47812012658399977,-0.6872934112656949,-0.42161147108447644,0.2252516939032079,0.5139663794619277,0.17081294224390325,-0.04794499842254824
COL,2015,-1.7023433578181113,-0.0726343928740824,0.46622233397034396,-0.4399973086305711,-0.28784995543537184,0.37490838735068144,0.2616251726392444,0.5471900426055603,-0.27722511626480273
COL,2016,-1.6445726871217687,-0.22445504963890542,0.39405676179042465,-0.08232669854176469,-0.44405611277168466,0.4507215017771313,0.49296614247814813,0.39612006155400414,-0.5592931106242018
COL,2017,-1.7816675837757368,-0.3833592048394422,0.1555703787946799,0.20064751704365275,-0.5233110134625626,0.3101506108103944,0.5279515422252621,0.2681336657600315,-0.5761521808128472
COL,2018,-1.8986767200452892,-0.4935621126828691,0.16992761421980648,-0.09852340121497674,-0.5762901294457791,0.262207647099157,0.4333464489745175,0.17264297768255102,-0.2935343487548174
COL,2019,-1.9176947695418918,-0.3507193709605556,0.157704582461138,-0.1830237311845529,-0.607614364335105,0.5286056396194315,0.5591078988967281,0.2029622006075632,-0.18441250416764876
COL,2020,-2.8985272901872334,-0.40650713191552756,-0.6448128076088221,1.787746173008606,-0.23507402295406044,1.4887418591292858,-0.1474064778248227,0.14243908568167327,-1.9612928581019735
COL,2021,-2.025249412169559,-0.4746407642512738,0.39169995222562315,-1.1105571520615494,-1.0767850425396355,1.1910666173795352,1.0598111401624775,-0.6999984593571976,1.2404394919779298
COL,2022,-1.9768733538005825,-0.4001720012561188,-0.05484542964970148,-1.1067183121457003,-0.7801478041583824,0.5316378681827952,0.7162754675507054,-0.01637784101471722,0.5666029326591223
COL,2023,-2.278563005531393,-0.485196082663034,-0.5396298611850735,0.2874508040687069,-0.9496035803650649,0.3299585353622317,0.34381586057587343,0.2828379959031029,-0.5174368957802947
COL,2024,-2.2513163628578616,-0.5052280858102137,-0.36227323775547143,0.37141177476520815,-1.0858130989762431,0.24265525492899065,0.4089803146139302,0.11817091187522315,-0.3439359929110418
CZE,1990,0.08291976149660804,0.0737662576777081,0.5955732870829223,-0.600261149777634,-0.06069651020882431,0.02710997878073691,-0.4343087319061242,0.09836369095469003,-0.7283209434289485
CZE,1991,-0.4911427307741965,0.05126250535832015,-0.5437366276225869,1.2496380396628397,0.608629748701909,-0.6500127466734312,-1.5979437721784755,1.037687928207227,-3.3549750072931124
CZE,1992,0.3169208042743929,0.14053512779826804,0.340209012747149,-0.28909029254964,0.1296855872257627,-0.4178934271467558,-0.7442053019497147,0.4178687835838583,-1.4165861026792128
CZE,1993,0.4958520355975874,0.12072120544098498,0.2381193440025701,0.042549563751099605,0.26832423574127795,-0.4422610264053474,-0.7882807392305221,0.021666836438702153,-0.8226197118723134
CZE,1994,0.6875083919805927,0.2010488945097329,0.8815456635766992,-0.5311243395874341,0.46455779350789556,-0.3246067480774781,-0.4398467216510369,-0.048579421794783854,-0.5322770944552359
CZE,1995,1.3795600238491184,0.318769011422935,1.463801159113341,-1.024686227206845,0.3710287103298694,-0.02866702869925043,0.1436023032600077,-0.10395897633308815,-0.33294650770931455
CZE,1996,1.0513958678932394,0.29997730748025836,1.5852213230380743,-1.2427497237540457,0.9221487978676288,-0.24369392922717764,-0.38531494044983355,0.0018124240496988422,-0.7497664219200983
CZE,1997,0.5351647496390683,0.27039539713024685,0.8060285328609968,-0.6918648669905683,1.1381727212575972,-0.1715310485357852,-1.0200254228022732,0.2433088876045287,-1.432869436010553
CZE,1998,0.7509652481519202,0.17399573625461542,0.48072085988373,-0.3894712452235418,0.6360727723873207,0.28194410549456667,-0.6057170419338378,0.10582368918735213,-1.4097035790038546
CZE,1999,0.6665662047360263,0.08922693460683845,0.20585052906111576,-0.8174534396436645,0.43462473630641585,0.8660751792857632,-0.21117403777717592,0.1250316790535193,-1.1661136071919298
CZE,2000,0.9459663566505997,0.2166378059701105,0.49913750332445506,-1.468343449227301,0.45065013888107464,0.8473299281072189,-0.308191350768495,-0.14129381747612318,-0.8154907968454551
CZE,2001,0.9335759195913463,0.14330658274896207,0.4732812880434599,-1.4771509486598138,0.43035063086126146,0.688040132838654,-0.36528800705497155,-0.13424738346441883,-1.1901405773622071
CZE,2002,0.6148300859278795,-0.030037152955215394,0.4581014927610412,-1.262702191019178,0.047512405560549816,0.6707246457675397,-0.11502686637017344,0.15991810486152536,-1.7248381519173759
CZE,2003,0.30889368457672234,-0.007499469348602709,0.7038056203893054,-1.2371337833125822,-0.05631771002502162,0.31568765461145953,-0.6455384380452815,-0.5044234916316105,-1.0573422338154563
CZE,2004,0.8736374123061561,0.02127845443251838,0.2688618987363153,-1.5885584259228458,-0.1026505994584768,0.5333540080712318,-0.5279674390079465,-0.5163686531840663,-0.7812674633496438
CZE,2005,1.3010225150120969,0.02254058492513288,-0.039063149335984274,-1.8582099595644097,-0.2485073074765107,0.670430435654733,-0.08531586128308537,-0.30439834201950855,-0.5035821233180631
CZE,2006,1.3228587364675943,0.08183826938592878,0.2084495239612774,-1.8029042010148963,-0.08728880048979575,0.3021228676912164,-0.5819899352578443,-0.6115252134049376,-0.31472602270105504
CZE,2007,1.5462165608444054,0.09990108478254754,0.23578898184687377,-1.997644018941391,0.29091419274779795,0.027194194988739775,-0.4122733672620236,-0.2462990354739631,-0.7429771226792335
CZE,2008,1.2881293724531024,0.04552323959439254,0.07719308088668755,-1.159081865625285,0.27153351903660783,-0.4149990619035087,-0.7564675931041174,-0.2567435655345949,-0.9602071202719359
CZE,2009,0.04770539596906496,-0.03316229052177163,-0.7275348351914876,0.08617254886539981,0.43153727510449924,-0.10756232822958786,-1.4315551988025674,0.2041035143763782,-1.9683398453048466
CZE,2010,0.5539753992079358,-0.11795660835807484,-0.5066064749671405,-1.1755887589130634,0.10896259738807447,0.1462264339929559,-0.7241710580356965,-0.23931932039521964,-0.8001935708525741
CZE,2011,0.7389490449970902,-0.11821554506537257,-0.5976778017302848,-0.9419793453875835,0.1699000268288525,-0.1072303978260475,-1.1508446940469315,-0.4863079639307933,-0.8916271210110162
CZE,2012,0.8504942067666952,-0.01606389356162267,-1.0593253585543039,-0.5712613307093759,0.20888879814574093,0.09913035926755785,-1.2505172567166756,-0.09693131114155651,-1.3044370623769252
CZE,2013,0.8913469476315211,-0.06858818056747426,-0.9928946850197357,-0.4194658758268709,-0.004871265103939349,0.10327950600163975,-1.1809928009722521,-0.28924556163140186,-1.1687768204701892
CZE,2014,1.4420089309671302,0.05290366150865556,-0.8479813892995779,-0.8214992220551381,-0.09357958356841535,0.1189822392708633,-1.201388915513668,-0.34698491382746094,-0.8247203645388541
CZE,2015,1.7047392124330079,0.24727391331257037,-0.20154907823209878,-0.9581288969895135,-0.26171461139236724,0.040321311433150875,-1.2198392740808157,-0.43868594319230025,-0.2957720676806949
CZE,2016,1.6612401037786622,0.13004515478538523,-0.479752103531422,-0.5357948958593073,-0.401247135796629,0.10396403527797467,-0.8248016389689888,-0.05552428765853861,-1.0078598012728888
