economy,year,GDP_Growth,Inflation_CPI,Unemployment,Current_Account_GDP,Reserves_Months_Imports,FDI_Inflows_GDP,Exports_GDP,Imports_GDP,Gross_Savings_GDP,Investment_GDP,Manufacturing_Value,Domestic_Credit_GDP,Broad_Money_Growth,Exchange_Depreciation,crisis_label
CZE,2019,0.07917650880303226,-0.11121550351957679,-0.7515138638053757,0.15579911914738784,1.2913561717908308,0.7770351024881914,1.7909799259664554,1.7569946143817685,0.20539268444102424,0.47924583662110704,0.8004015757353468,-0.2703921937084779,-0.3729255539278961,0.453675087376803,0
CZE,2020,-2.2239510606797697,-0.05640915701147039,-0.6378412833315629,0.4005103912511811,1.8735762237083051,0.4970782639417427,1.6090418658511565,1.5160461990640837,0.214809745335535,0.25636942910565635,0.6224452012882704,-0.23790723006083256,-0.03454983391947527,0.001487969793367906,1
CZE,2021,0.19945000432552606,0.062246021801634334,-0.5840858387336664,-0.2556080686347213,1.3652308623567064,0.8625919249756779,1.7253233805208412,1.7953859315265777,0.4536225821241073,0.7817463662665045,0.4677744442819806,-0.23722850296058637,-0.3342718366275762,-0.8161845801189438,0
CZE,2022,-0.10739831579482209,2.0312918387675674,-0.7071071921810264,-0.6793119164773631,0.7318203098576428,0.3698303736417794,1.8028444623323499,2.024970202699855,0.3425000056199042,1.230819377829819,0.43486624329776646,-0.28068022261108766,-0.3966786100999178,0.6850920134398019,0
CZE,2023,-0.8342682978670249,1.2550788038718332,-0.6316795920535431,0.07332684373259099,0.7975692428134227,0.5164596506470563,1.6358135953040172,1.6348316285804063,0.47914463250954437,0.7957201096694391,0.5737678128488153,-0.2923723232994662,-0.05580865461920155,-0.6446434131321437,0
CZE,2024,-0.5217384059062092,-0.18335885942573582,-0.6272176776798046,0.3852524243541921,0.7639437363039753,0.6737428195294052,1.6548009425996493,1.5924440234378496,0.48578610653398496,0.5025194427297047,0.5001346781415082,-0.2885253197869317,-0.2798932641950855,0.3549118814100667,0
DEU,1990,0.5177586180251224,-0.13769154720333676,-0.05014341867629871,0.5421961211650994,-0.297396623796912,-0.6451516258728771,-0.26794777427275424,-0.3148068779275767,0.11698358248012068,0.3389454118504096,1.1346348330527207,0.5190938281504012,0.22180500482898108,0.158372918186419,0
DEU,1991,0.4796586706377714,0.09847607842697392,-0.05014341867629871,0.46533098542517976,-0.3272071425286683,-0.6070826523033453,-0.23352699870229207,-0.260904120203959,0.09239260370823915,0.48745563422495697,1.1346348330527207,0.5190938281504012,-0.07808734747664445,0.158372918186419,0
DEU,1992,-0.32381846011957094,0.2750810652116576,0.16381599915011177,0.3884658496852602,-0.35701766126042467,-0.7300465528973502,-0.29508340931860355,-0.33183328367918025,0.06780162493635764,0.39662647798578693,0.939487153456318,0.5190938281504012,-0.2624729084371145,-0.7426997586720842,0
DEU,1993,-1.0992546589428782,0.17323892088696727,0.4510782959736537,0.31160071394534056,-0.38682817999218094,-0.6894959920292557,-0.3872443656656696,-0.462837948706248,0.043210646164476105,0.16719297832916738,0.6560802203361401,0.5190938281504012,-0.9465856406027116,0.48894829051717387,0
