economy,year,anomaly_score,predicted_anomaly
CHL,2014,1.2316850138214053,0
CHL,2015,1.1443761471181562,0
CHL,2016,1.1096860942048108,0
CHL,2017,1.1924492038830607,0
CHL,2018,1.138979221669878,0
CHL,2019,1.1610871898388635,0
CHL,2020,1.3270002740112254,0
CHL,2021,1.4722638111619832,0
CHL,2022,1.2562389539773868,0
CHL,2023,1.4480293275071578,0
CHL,2024,1.2047928685137732,0
CHN,1990,1.8147753827039323,1
CHN,1991,1.3811181079939128,0
CHN,1992,1.4977041672237752,0
CHN,1993,1.7532056722403297,1
CHN,1994,2.2077448090977514,1
CHN,1995,1.5283796603943767,1
CHN,1996,1.1796356344917944,0
CHN,1997,1.2383852938449547,0
CHN,1998,1.2091614110373405,0
CHN,1999,1.1769764983185844,0
CHN,2000,1.1216171059358644,0
CHN,2001,1.1463111340415226,0
CHN,2002,1.187575131454925,0
CHN,2003,1.136631423920693,0
CHN,2004,1.170228721705974,0
CHN,2005,1.2228597393765022,0
CHN,2006,1.282530345210892,0
CHN,2007,1.4035127575268223,0
CHN,2008,1.376504754130585,0
CHN,2009,1.5820489758507796,1
CHN,2010,1.4286533171321765,0
CHN,2011,1.3439460304556547,0
CHN,2012,1.3210966382436313,0
CHN,2013,1.3151352157611467,0
CHN,2014,1.2890495950087504,0
CHN,2015,1.215281355613258,0
CHN,2016,1.1773594888200298,0
CHN,2017,1.1813667718061365,0
CHN,2018,1.1572455531028016,0
CHN,2019,1.1672754415042546,0
CHN,2020,1.107360233009576,0
CHN,2021,1.1293082816356188,0
CHN,2022,1.0936370984983232,0
CHN,2023,1.1067529523241513,0
CHN,2024,1.1044562697687925,0
COL,1990,1.0704160865277759,0
COL,1991,1.0991974942239071,0
COL,1992,1.0740708281171598,0
COL,1993,1.0902024609117973,0
COL,1994,1.125044368103774,0
COL,1995,1.0658390629379682,0
COL,1996,1.0830133163170281,0
COL,1997,1.1043819950850478,0
COL,1998,1.1674469840336028,0
COL,1999,1.3346075245309577,0
COL,2000,1.2836810932300993,0
COL,2001,1.0792726352791204,0
COL,2002,1.074025830910907,0
COL,2003,1.061711267154338,0
COL,2004,1.0560145996504273,0
COL,2005,1.0896311605059046,0
COL,2006,1.0141768688183046,0
COL,2007,1.0740585756526042,0
COL,2008,1.0414559562331238,0
COL,2009,1.064612859841644,0
COL,2010,1.0701853778246657,0
COL,2011,1.0387624119181502,0
COL,2012,1.0370416618865488,0
COL,2013,1.0120372499494301,0
COL,2014,1.0196562472878556,0
COL,2015,1.314729748342928,0
COL,2016,1.0298812413982925,0
COL,2017,1.0342131944160209,0
COL,2018,1.7140302915031167,1
COL,2019,1.0376718348759666,0
COL,2020,1.434039447553697,0
COL,2021,1.5076814402808896,1
COL,2022,1.2317572540394512,0
COL,2023,1.128703084395418,0
COL,2024,1.0393041388034359,0
CZE,1990,1.571212940642407,1
CZE,1991,1.5794785073341904,1
CZE,1992,1.3170296528894425,0
CZE,1993,1.2392472493971327,0
CZE,1994,1.1228861569072461,0
CZE,1995,1.3026450290816531,0
CZE,1996,1.4971413715817015,0
CZE,1997,1.246548852943606,0
CZE,1998,1.4875007815775518,0
CZE,1999,1.238835509910743,0
CZE,2000,1.1689106235807094,0
CZE,2001,1.1750776878975464,0
CZE,2002,1.4793718961750164,0
CZE,2003,1.2101460943932225,0
CZE,2004,1.1311228930159112,0
CZE,2005,1.117950297075013,0
CZE,2006,1.07368983337641,0
CZE,2007,1.092891102358044,0
CZE,2008,1.183704406149402,0
CZE,2009,1.4048262108654632,0
CZE,2010,1.1092318753704098,0
CZE,2011,1.1931261423852055,0
CZE,2012,1.159602235505158,0
CZE,2013,1.1030719772635538,0
CZE,2014,1.089990778213091,0
CZE,2015,1.4406524101482705,0
CZE,2016,1.0408132184739824,0
CZE,2017,1.1083339197128452,0
CZE,2018,1.069887781659061,0
CZE,2019,1.0632838676675127,0
CZE,2020,1.3207428771628167,0
CZE,2021,1.1077985782947513,0
CZE,2022,1.2764779630890295,0
CZE,2023,1.231105151023527,0
CZE,2024,1.0699283115935327,0
DEU,1990,1.2041747589030993,0
DEU,1991,1.171965312684963,0
DEU,1992,1.140788635433632,0
DEU,1993,1.2485950271730943,0
DEU,1994,1.115720472088268,0
DEU,1995,1.2043631760037354,0
DEU,1996,1.0661835903607666,0
DEU,1997,1.1598365839269538,0
DEU,1998,1.0408394107841203,0
DEU,1999,2.459213208173321,1
DEU,2000,1.339358231945856,0
DEU,2001,1.051200322647886,0
DEU,2002,1.1393603080280816,0
DEU,2003,1.2420150498974585,0
DEU,2004,1.1920647653482177,0
DEU,2005,1.1276401679516275,0
DEU,2006,1.0827541250556587,0
DEU,2007,1.0401721537551385,0
DEU,2008,1.0203252908857912,0
DEU,2009,1.3172564214417168,0
DEU,2010,1.122898446304039,0
DEU,2011,1.0045299445892188,0
DEU,2012,1.0621605189456365,0
DEU,2013,1.0154811273898936,0
DEU,2014,1.0234231100995839,0
DEU,2015,1.5604640763978384,1
DEU,2016,1.0595430853012384,0
DEU,2017,1.026517232031576,0
DEU,2018,1.04290126634889,0
DEU,2019,1.0280590696154719,0
DEU,2020,1.349755979065513,0
DEU,2021,1.0058551841194092,0
DEU,2022,1.1831622800027575,0
DEU,2023,1.1619011103682086,0
DEU,2024,1.0257318358334886,0
EGY,1990,1.9415484212772949,1
EGY,1991,1.920306775776615,1
EGY,1992,1.1760717250244612,0
EGY,1993,1.1465004039109576,0
EGY,1994,1.0215915760023981,0
EGY,1995,1.1339914013284342,0
EGY,1996,1.0026389246485514,0
EGY,1997,1.011724216697343,0
EGY,1998,1.0013098180640885,0
EGY,1999,1.018654484055853,0
EGY,2000,1.016855146696677,0
EGY,2001,1.088073944472046,0
EGY,2002,1.1257101885912537,0
EGY,2003,1.251070440720659,0
