economy,year,lof_score,predicted_anomaly,crisis_label
EGY,1995,0.9992224039343448,0,0
EGY,1996,0.9890708360838923,0,0
EGY,1997,0.9619720990156122,0,0
EGY,1998,0.9997026671136939,0,0
EGY,1999,1.0171015012080051,0,0
EGY,2000,0.9758274745905995,0,0
EGY,2001,1.027855500425035,0,0
EGY,2002,1.0369521384526152,0,0
EGY,2003,1.1168720437592994,0,0
EGY,2004,1.1890687318788513,1,0
EGY,2005,1.0937963859808972,0,0
EGY,2006,1.153619321418182,0,0
EGY,2007,1.088712517684187,0,0
EGY,2008,1.0241898920191606,0,0
EGY,2009,0.9754656607609696,0,0
EGY,2010,0.9869468118197311,0,0
EGY,2011,1.030651039111626,0,0
EGY,2012,1.0525201207312245,0,1
EGY,2013,1.086864146459474,0,1
EGY,2014,1.1123750805771784,0,1
EGY,2015,1.247563188847188,1,1
EGY,2016,1.2108280022845408,1,0
EGY,2017,1.1271016525185853,0,1
EGY,2018,0.973412182247533,0,0
EGY,2019,0.987617366005788,0,0
EGY,2020,0.9897141616211238,0,0
EGY,2021,0.990790331353527,0,0
EGY,2022,1.043301325754617,0,0
EGY,2023,1.0023482705272846,0,1
EGY,2024,1.7510412214006643,1,1
ESP,1990,1.1422403449152045,0,0
ESP,1991,1.2181924870755332,1,0
ESP,1992,1.0894024938524465,0,0
ESP,1993,1.0734281098620273,0,0
ESP,1994,1.0672571030270166,0,0
ESP,1995,1.117003665528188,0,0
ESP,1996,1.0655500427521243,0,0
ESP,1997,1.035448709570081,0,0
ESP,1998,1.0270389177606705,0,0
ESP,1999,1.066441131835274,0,0
ESP,2000,1.0538741695991332,0,0
ESP,2001,1.0023772697027544,0,0
ESP,2002,1.0232407214390653,0,0
ESP,2003,1.0248920653508302,0,0
ESP,2004,1.02763050294951,0,0
ESP,2005,1.0241164061527006,0,0
ESP,2006,1.1086446278612418,0,0
ESP,2007,1.137803273469811,0,1
ESP,2008,1.2418829083679859,1,1
ESP,2009,1.158076151900998,0,1
ESP,2010,1.1640391295361638,0,0
ESP,2011,1.1409528413506111,0,0
ESP,2012,1.2712212174518769,1,1
ESP,2013,1.147292608904395,0,1
ESP,2014,1.0915287484019813,0,1
ESP,2015,1.1078818595232243,0,0
ESP,2016,1.11406963445625,0,0
ESP,2017,1.3127998708079383,1,0
ESP,2018,1.2427363756161554,1,0
ESP,2019,1.2379494848136932,1,0
ESP,2020,1.1767611238165832,0,1
ESP,2021,1.3038478021879754,1,0
ESP,2022,1.146759401467302,0,1
ESP,2023,1.2829536132595665,1,0
ESP,2024,1.1953643461014736,1,0
FRA,1990,1.0036546064466527,0,0
FRA,1991,0.9635578469884549,0,0
FRA,1992,0.9702480579152644,0,0
FRA,1993,1.096918456023809,0,0
FRA,1994,0.9870420218567182,0,1
FRA,1995,0.9810871292082888,0,0
